nama_hotel,alamat_hotel,harga_kamar,jenis_kamar,total_kamar_tersedia,wilayah,latitude,longitude
The Unit Residence,"Jl. Bungur Buntu No.1, RT.1/RW.5, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Rp250.684,2,3,Jakarta Selatan,-6.2583463845989100,106.82000931818700
OYO 1082 Kost Arie 1 Near RSIP Persahabatan,"No. 330, Jl. Balai Pustaka Barat, Jakarta,13220",Rp123.967,1,4,Jakarta Timur,-6.201218931273410,106.88284248566800
EXPRESS O 91808 Sindang Raya 16 Syariah,"16 Jalan Sindang Raya, Jati, Pulo Gadung, Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220, Indonesia",Rp69.456,1,1,Jakarta Timur,-6.1885059959082000,106.8994559850550
Monggo Mampir Kostel Tanjung Duren Grogol Petamburan,"Jl. Manggis IV No.12, Tj. Duren Sel., Kec. Grogol Petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",Rp195.800,1,1,Jakarta Barat,-6.179087295701190,106.78551738505500
OYO 91257 Royani Residence,"25B, Jalan KH Royani I, RW 01, Karet Kuningan, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12910, Indonesia, Jakarta",Rp177.803,1,1,Jakarta Selatan,-6.216930663665280,106.82152195008600
RedLiving Apartemen Bassura City - Vina Tan Tower Flamboyan,"Jalan Jendral Basuki Rachmat, Cipinang Besar Selatan, Kecamatan Jatinegara, Jakarta Timur, DKI Jakarta",Rp223.962,2,5,Jakarta Timur,-6.22366330027557,106.87999046112900
OYO 91421 Bridjo Populer Syariah,"19, Jalan Bridjo No.19, RT 10 RW 04, Pasar Baru, Sawah Besar, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia, Jakarta, Pasar Baru, Sawah Besar, Jakarta, Indonesia, 10710",Rp80.316,1,1,Jakarta Pusat,-6.162845095314060,106.83617633844200
Tomang Gelong Guest House Syariah RedPartner,"Jalan Gelong Baru Barat IV no. 11, Tomang, Kecamatan Grogol Petamburan, Jakarta 11440",Rp169.338,2,5,Jakarta Barat,-6.176800428966520,106.7951742083750
Fazza Syariah RedPartner,"Apotik Safir, RT.1/RW.12, Cipinang Muara, Jakarta Timur, DKI Jakarta, Indonesia",Rp221.744,4,5,Jakarta Timur,-6.236533295977780,106.88959185562500
Keraton Guest House,"Jl. Lebak Bulus Raya No.49Z, Lebak Bulus, Cilandak, Jakarta Selatan, DKI Jakarta",Rp380.000,4,6,Jakarta Selatan,-6.297893737146980,106.77433885012100
Veranda Hotel @ Pakubuwono by Breezbay Japan,"Jl. Kyai Maja No.63, Kebayoran Baru, Jakarta Selatan",Rp705.200,2,2,Jakarta Selatan,-6.239601962836240,106.78556984395100
Hotel City Villa,"Jl Kebon Kacang 29 No 13, Tanah Abang, Jakarta, Indonesia",Rp215.000,4,7,Jakarta Pusat,-6.191861529892950,106.81985727339900
RedDoorz Syariah  @ Taman Bendungan Asahan,"Jalan Taman Bendungan Asahan no 12-14, RT 09 RW 02 Benhil, Jakarta Pusat",Rp200.790,1,4,Jakarta Pusat,-6.2139762959782500,106.80967857893000
The Baile,"Jl. Kimia, No. 4, Menteng, Jakarta Pusat, DKI Jakartaa, Indonesia",Rp653.594,2,2,Jakarta Pusat,-6.19786969145347,106.84470862799800
Roemah Tebet RedPartner,"Jl. Tebet Barat Dalam Raya No.44, RT.14/RW.3, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, DKI Jakarta, Indonesia",Rp234.888,3,3,Jakarta Selatan,-6.235411863773490,106.8464823322950
